lifetime_value,ltv_percentile,guest_id,generation,booking_channel,loyalty_tier,total_visits,party_composition,num_children,dietary_flag,room_revenue,amount
930573.059999999,0.076794658,G0154,Gen Z,OTA,Platinum,19,Group,0,None,915271.459999999,15301.6
890140.629999995,0.078464107,G0422,Millennial,Direct,Gold,7,Family,2,Vegan,871187.019999995,18953.61
883643.83,0.080133556,G0055,Boomer,Direct,Gold,7,Family,3,Vegan,865575.22,18068.61
875717.540000001,0.081803005,G0321,Millennial,Direct,Gold,6,Family,1,Vegetarian,863007.140000001,12710.4
871627.720000011,0.083472454,G0131,Millennial,Travel Agent,Silver,5,Family,3,Dairy-Free,859103.300000011,12524.42
847499.350000004,0.085141903,G0164,Millennial,OTA,Silver,5,Family,3,Dairy-Free,835743.370000004,11755.98
847044.110000007,0.086811352,G0424,Gen X,Corporate,Gold,10,Family,2,Dairy-Free,824556.400000007,22487.71
840084.740000008,0.088480801,G0360,Millennial,Direct,Gold,7,Family,2,None,823303.590000008,16781.15
834774.050000006,0.090150250,G0381,Gen X,Direct,Gold,4,Family,2,None,824064.690000006,10709.36
829443.159999996,0.091819699,G0161,Millennial,Travel Agent,Silver,5,Family,3,None,816269.969999996,13173.19
811138.339999995,0.093489149,G0593,Boomer,Direct,Platinum,19,Solo,0,None,797507.219999995,13631.12
800707.640000002,0.095158598,G0450,Boomer,Direct,Platinum,20,Group,0,None,786083.910000002,14623.73
790230.149999999,0.096828047,G0098,Gen Z,Direct,Platinum,24,Solo,0,None,776370.729999998,13859.42
779769.68,0.098497496,G0496,Gen X,Direct,Silver,4,Family,3,None,769897.03,9872.65
776593.78,0.100166945,G0185,Gen Z,OTA,Platinum,18,Solo,0,Dairy-Free,762270.09,14323.69
767596.359999997,0.101836394,G0169,Millennial,Travel Agent,Silver,5,Family,3,None,755084.529999997,12511.83
764563.960000006,0.103505843,G0484,Millennial,Direct,Gold,4,Family,3,None,753660.370000006,10903.59
764029.159999997,0.105175292,G0580,Boomer,Travel Agent,Platinum,20,Group,0,Dairy-Free,750267.939999997,13761.22
757394.429999999,0.106844741,G0228,Gen X,Direct,Platinum,24,Couple,0,None,743177.639999999,14216.79
755035.730000002,0.108514190,G0313,Millennial,OTA,Platinum,23,Couple,0,Dairy-Free,740496.920000002,14538.81
748590.949999995,0.110183639,G0460,Gen X,OTA,Gold,4,Family,3,None,736023.849999995,12567.1
746817.290000001,0.111853088,G0564,Gen X,Direct,Silver,5,Family,2,None,734965.040000001,11852.25
744152.380000003,0.113522538,G0302,Millennial,Direct,Gold,8,Family,1,Gluten-Free,728006.810000003,16145.57
737205.24,0.115191987,G0222,Boomer,Corporate,Platinum,11,Family,1,Vegan,716531.5,20673.74
716687.940000002,0.116861436,G0394,Millennial,Corporate,Gold,6,Family,3,None,702927.420000002,13760.52
708256.84,0.118530885,G0130,Millennial,Direct,Platinum,25,Couple,0,None,692984.17,15272.67
706309.460000001,0.120200334,G0331,Boomer,Direct,Platinum,21,Group,0,Vegetarian,692620.100000001,13689.36
701541.370000003,0.121869783,G0376,Millennial,OTA,Gold,5,Family,2,Dairy-Free,687263.650000003,14277.72
690425.29,0.123539232,G0057,Gen Z,Direct,Platinum,17,Couple,0,None,679032.64,11392.65
647990.14,0.125208681,G0320,Gen X,Travel Agent,Gold,7,Family,3,None,630814.69,17175.45
646590.689999999,0.126878130,G0521,Gen X,Direct,Gold,4,Family,3,Dairy-Free,635246.919999999,11343.77
634705.75,0.128547579,G0295,Boomer,Direct,Gold,7,Family,1,None,619778.18,14927.57
630519.13,0.130217028,G0561,Millennial,Direct,Platinum,20,Solo,0,None,617414.85,13104.28
620886.65,0.131886477,G0438,Millennial,Direct,Gold,8,Family,3,Gluten-Free,601781.72,19104.93
616868.509999999,0.133555927,G0232,Boomer,Direct,Platinum,19,Group,0,None,604683.859999999,12184.65
615340.780000005,0.135225376,G0387,Gen X,OTA,Silver,5,Family,2,None,603502.400000005,11838.38
607657.389999999,0.136894825,G0491,Gen X,Direct,Platinum,15,Couple,0,Vegetarian,597559.969999999,10097.42
582021.560000002,0.138564274,G0126,Boomer,Travel Agent,Gold,7,Family,1,Halal,568660.710000002,13360.85
574416.04,0.140233723,G0508,Boomer,Travel Agent,Platinum,11,Couple,0,Gluten-Free,564990.54,9425.500000000
572812.729999999,0.141903172,G0281,Gen X,Direct,Silver,4,Family,3,Halal,562697.249999999,10115.48
572337.779999998,0.143572621,G0481,Millennial,Direct,Platinum,20,Solo,0,Kosher,560835.719999998,11502.06
563848.640000001,0.145242070,G0106,Boomer,Direct,Gold,5,Family,3,Nut Allergy,551223.140000001,12625.5
552332.209999997,0.146911519,G0077,Millennial,Corporate,Gold,5,Family,2,None,540268.599999997,12063.61
545850.080000001,0.148580968,G0367,Gen X,Direct,Silver,3,Family,1,Vegan,538054.790000001,7795.290000000
543265.430000001,0.150250417,G0230,Gen X,OTA,None,2,Family,3,None,537448.940000001,5816.490000000
537735.38,0.151919866,G0512,Millennial,Direct,Platinum,17,Couple,0,None,528224.47,9510.910000000
525549.45,0.153589316,G0545,Gen X,Direct,Silver,5,Family,1,Vegetarian,517347.9,8201.55
508866.000000002,0.155258765,G0506,Boomer,OTA,Silver,5,Family,3,None,499211.660000002,9654.34
508525.939999999,0.156928214,G0237,Millennial,Direct,Gold,8,Family,1,None,493270.189999999,15255.75
501847.859999999,0.158597663,G0012,Millennial,OTA,Gold,5,Family,2,None,489320.549999999,12527.31
494859.86,0.160267112,G0110,Millennial,OTA,Platinum,17,Couple,0,Vegan,485528.21,9331.65
488354.24,0.161936561,G0129,Gen X,OTA,Silver,5,Family,2,None,477755.67,10598.57
486550.150000001,0.163606010,G0339,Boomer,Travel Agent,Gold,6,Family,3,Vegan,472149.000000001,14401.15
485362.66,0.165275459,G0146,Millennial,OTA,Silver,4,Family,2,Dairy-Free,476074.22,9288.440000000
482840.099999999,0.166944908,G0062,Millennial,Direct,Silver,4,Family,2,None,474261.729999999,8578.37
481153.739999999,0.168614357,G0493,Gen X,Direct,Gold,5,Family,3,Vegan,469759.449999999,11394.29
480424.330000001,0.170283806,G0101,Millennial,Direct,Platinum,10,Solo,0,None,473482.620000001,6941.710000000
480196.729999999,0.171953255,G0486,Millennial,OTA,Silver,5,Family,1,None,470907.939999999,9288.79
477597.699999999,0.173622705,G0196,Millennial,Corporate,Platinum,23,Couple,0,None,467595.309999999,10002.39
475273.56,0.175292154,G0324,Millennial,Direct,Platinum,13,Couple,0,None,467427.49,7846.07
473467.249999999,0.176961603,G0147,Gen X,Direct,Gold,4,Family,3,None,462348.359999999,11118.89
461931.870000002,0.178631052,G0570,Gen X,Direct,None,2,Family,2,None,457037.560000002,4894.31
461620.97,0.180300501,G0581,Gen X,Direct,Platinum,16,Solo,0,None,451891.61,9729.36
459828.179999997,0.181969950,G0076,Millennial,OTA,Silver,3,Family,1,Gluten-Free,453814.979999997,6013.2
459143.94,0.183639399,G0283,Millennial,Direct,Gold,5,Family,2,Vegetarian,447625.17,11518.77
456161.51,0.185308848,G0060,Boomer,Direct,Silver,5,Family,1,Dairy-Free,447643.44,8518.070000000
455553.620000001,0.186978297,G0068,Gen X,Direct,Silver,4,Family,1,Gluten-Free,448458.760000001,7094.86
449838.72,0.188647746,G0072,Millennial,OTA,Silver,4,Family,2,Vegan,441718.52,8120.2
435933.520000001,0.190317195,G0538,Millennial,OTA,Silver,3,Family,1,Dairy-Free,429997.870000001,5935.65
426790.020000002,0.191986644,G0560,Millennial,OTA,Silver,4,Family,3,None,416473.550000002,10316.47
425974.089999999,0.193656093,G0177,Boomer,Direct,Silver,4,Family,2,Vegetarian,417101.889999999,8872.2
423249.01,0.195325543,G0489,Millennial,Direct,Silver,5,Family,1,Vegan,414448.7,8800.31
422238.46,0.196994992,G0181,Millennial,Corporate,Silver,4,Family,2,Vegetarian,414868.72,7369.74
418145.110000001,0.198664441,G0207,Gen X,Corporate,Silver,5,Family,1,None,409203.9,8941.21
416294.65,0.200333890,G0357,Gen X,Direct,Silver,3,Family,2,Gluten-Free,408423.99,7870.66
414415.990000001,0.202003339,G0264,Gen X,OTA,Platinum,16,Couple,0,Halal,406121.870000001,8294.12
410542.029999999,0.203672788,G0166,Millennial,OTA,Silver,4,Family,1,None,402900.479999999,7641.55
410328.360000002,0.205342237,G0004,Gen X,Direct,Silver,3,Family,2,Vegetarian,402403.290000002,7925.07
409329.65,0.207011686,G0359,Millennial,Travel Agent,None,2,Family,3,None,404495.91,4833.74
408222.720000001,0.208681135,G0452,Millennial,Direct,Platinum,12,Solo,0,None,400385.520000001,7837.2
404870.53,0.210350584,G0330,Millennial,OTA,Silver,3,Family,2,Nut Allergy,397990.009999999,6880.52
402457.400000002,0.212020033,G0123,Boomer,Direct,Silver,4,Family,3,Vegan,393701.060000002,8756.34
401843.500000002,0.213689482,G0206,Gen X,Direct,Gold,5,Family,3,None,386822.320000002,15021.18
401341.58,0.215358932,G0597,Gen X,Corporate,Platinum,22,Group,0,None,390441.75,10899.83
393329.260000001,0.217028381,G0587,Millennial,Direct,Gold,4,Family,1,None,384840.760000001,8488.5
383999.29,0.218697830,G0184,Boomer,Direct,Platinum,12,Group,0,Kosher,376087.579999999,7911.71
381387.499999999,0.220367279,G0211,Boomer,Corporate,Platinum,25,Couple,0,Vegan,370708.729999999,10678.77
377185.34,0.222036728,G0006,Gen X,Direct,Platinum,9,Solo,0,None,371392.72,5792.62
376182.9,0.223706177,G0180,Gen X,Direct,Platinum,17,Group,0,None,366305.33,9877.570000000
373002.079999999,0.225375626,G0417,Millennial,Direct,Gold,4,Family,2,Nut Allergy,362932.869999999,10069.21
372526.44,0.227045075,G0576,Gen X,OTA,Platinum,19,Couple,0,None,364852,7674.44
365489.37,0.228714524,G0007,Millennial,OTA,Silver,4,Family,2,Kosher,356694.4,8794.97
361988.88,0.230383973,G0584,Millennial,Corporate,Gold,5,Family,2,Dairy-Free,352615.62,9373.26
358298.37,0.232053422,G0316,Gen Z,OTA,Gold,10,Group,0,None,352165.4,6132.97
357477.870000001,0.233722871,G0138,Millennial,OTA,None,2,Family,3,Vegan,352941.330000001,4536.54
354958.350000001,0.235392321,G0566,Boomer,Corporate,Silver,5,Family,3,None,345475.700000001,9482.65
353060.38,0.237061770,G0408,Gen X,Corporate,Silver,4,Family,2,Nut Allergy,346402.22,6658.16
352259.79,0.238731219,G0286,Millennial,Direct,Gold,9,Solo,0,None,346446.2,5813.59
348159.750000001,0.240400668,G0194,Gen X,Travel Agent,Silver,3,Family,2,None,341625.360000001,6534.39
346491.4,0.242070117,G0385,Millennial,OTA,Platinum,10,Group,0,None,339546.94,6944.46
342709.24,0.243739566,G0448,Gen X,Direct,Silver,2,Family,1,Nut Allergy,338226.52,4482.72
338466.790000001,0.245409015,G0084,Millennial,Travel Agent,Gold,9,Solo,0,None,331392.480000001,7074.31
336111.280000001,0.247078464,G0312,Millennial,Direct,Platinum,14,Couple,0,Nut Allergy,328412.100000001,7699.18
335741,0.248747913,G0591,Millennial,Direct,Silver,4,Family,1,None,329150.05,6590.95
334021.020000002,0.250417362,G0140,Boomer,Direct,Silver,3,Family,2,None,327156.750000002,6864.27
331461.98,0.252086811,G0369,Gen X,Direct,Gold,7,Couple,0,Gluten-Free,328166.82,3295.16
330687.92,0.253756260,G0494,Gen X,Direct,Platinum,12,Solo,0,Halal,323890.22,6797.7
324822.919999999,0.255425710,G0358,Gen Z,OTA,Platinum,8,Couple,0,Kosher,318731.339999999,6091.580000000
324416.519999999,0.257095159,G0483,Millennial,Direct,Gold,9,Couple,0,None,317507.049999999,6909.47
323867.949999999,0.258764608,G0428,Gen X,Corporate,Silver,3,Family,3,None,318183.309999999,5684.64
323527.000000001,0.260434057,G0040,Gen X,Direct,None,2,Family,1,None,320181.330000001,3345.67
319196.69,0.262103506,G0259,Boomer,Travel Agent,Silver,4,Family,3,Halal,310134.32,9062.37
312769.24,0.263772955,G0559,Boomer,Corporate,None,2,Family,3,None,306829.6,5939.64
311506.5,0.265442404,G0499,Millennial,Direct,Silver,2,Family,2,None,306469.6,5036.9
310656.350000001,0.267111853,G0005,Gen X,OTA,None,2,Family,3,None,307166.440000001,3489.91
309979.649999999,0.268781302,G0542,Boomer,OTA,Gold,9,Solo,0,None,305469.309999999,4510.34
307699.880000001,0.270450751,G0037,Gen X,Direct,Gold,8,Couple,0,Gluten-Free,303723.030000001,3976.85
307430.700000001,0.272120200,G0044,Millennial,Direct,None,2,Family,2,Vegetarian,303456.160000001,3974.54
304132.85,0.273789649,G0105,Boomer,Direct,Silver,4,Family,1,Nut Allergy,297453.42,6679.43
300941.54,0.275459098,G0354,Boomer,Direct,Platinum,14,Solo,0,Gluten-Free,292121.24,8820.3
290258.47,0.277128548,G0391,Gen Z,OTA,Platinum,9,Solo,0,None,284858.97,5399.5
288343.74,0.278797997,G0350,Millennial,Direct,Gold,10,Couple,0,None,282330.29,6013.45
288213.399999999,0.280467446,G0268,Millennial,OTA,None,2,Family,2,None,284087.54,4125.86
286344.16,0.282136895,G0355,Millennial,OTA,None,2,Family,1,None,283066.05,3278.11
281858.75,0.283806344,G0403,Gen X,OTA,Gold,6,Couple,0,Dairy-Free,277932.8,3925.95
280778.57,0.285475793,G0017,Millennial,Corporate,Platinum,22,Couple,0,Halal,272218.24,8560.33
278698.179999999,0.287145242,G0100,Gen X,Travel Agent,None,2,Family,3,None,274080.899999999,4617.28
276114.32,0.288814691,G0071,Gen X,OTA,None,2,Family,2,Dairy-Free,272426.04,3688.28
275914.369999999,0.290484140,G0479,Millennial,Direct,None,2,Family,3,None,271588.109999999,4326.26
275427.520000001,0.292153589,G0413,Boomer,OTA,None,2,Family,2,Vegetarian,271767.740000001,3659.78
275058.64,0.293823038,G0179,Millennial,OTA,None,2,Family,3,None,270807.88,4250.76
273236.27,0.295492487,G0504,Boomer,OTA,Platinum,8,Couple,0,None,268387.11,4849.16
272337.7,0.297161937,G0388,Boomer,Corporate,Platinum,17,Solo,0,None,264820.31,7517.39
266354.34,0.298831386,G0347,Gen X,Direct,Gold,7,Couple,0,Halal,260747.86,5606.48
264911.78,0.300500835,G0003,Millennial,OTA,Silver,3,Family,1,Kosher,260110.72,4801.06
264907.390000001,0.302170284,G0274,Gen X,OTA,None,2,Family,2,Vegetarian,261429.560000001,3477.83
262024.689999999,0.303839733,G0308,Boomer,Travel Agent,Silver,3,Family,3,None,254900.359999999,7124.33
258528.390000001,0.305509182,G0092,Gen X,Corporate,Silver,2,Family,3,None,254126.640000001,4401.75
257510.58,0.307178631,G0284,Millennial,Direct,Gold,9,Group,0,None,251681.17,5829.41
257298.410000001,0.308848080,G0418,Gen X,Corporate,Platinum,20,Couple,0,None,249395.970000001,7902.440000000
255616.08,0.310517529,G0225,Gen Z,Corporate,Platinum,21,Couple,0,None,247845.82,7770.26
253658.58,0.312186978,G0454,Gen X,Corporate,Platinum,17,Solo,0,None,246430.09,7228.49
251296.76,0.313856427,G0365,Millennial,Corporate,None,2,Family,3,None,247067.94,4228.82
250035.67,0.315525876,G0434,Boomer,Direct,Silver,3,Group,0,Kosher,247293.22,2742.45
249519.03,0.317195326,G0182,Boomer,Direct,Gold,10,Group,0,Halal,243231.22,6287.81
248403.979999999,0.318864775,G0547,Millennial,Corporate,Silver,2,Family,2,None,243596.699999999,4807.28
247776.329999999,0.320534224,G0013,Gen Z,Travel Agent,Gold,5,Couple,0,Dairy-Free,242865.229999999,4911.1
247728.44,0.322203673,G0310,Gen X,OTA,Silver,2,Family,2,None,242442.36,5286.08
247475.51,0.323873122,G0552,Millennial,OTA,None,2,Family,2,Halal,243668.89,3806.62
246682.01,0.325542571,G0093,Gen X,OTA,None,2,Family,3,Halal,242761.89,3920.12
241428.35,0.327212020,G0299,Boomer,Travel Agent,None,2,Family,2,Vegetarian,237457.1,3971.25
239887.42,0.328881469,G0518,Millennial,Direct,None,1,Family,3,None,237549.12,2338.3
238930.27,0.330550918,G0205,Millennial,OTA,Silver,4,Family,1,Kosher,234264.14,4666.13
238656.979999999,0.332220367,G0409,Boomer,Direct,Silver,3,Family,2,Nut Allergy,233290.999999999,5365.98
238073.77,0.333889816,G0233,Gen X,Corporate,None,2,Family,3,None,233879.07,4194.7
237472.789999999,0.335559265,G0290,Millennial,OTA,Silver,4,Family,1,Halal,230526.329999999,6946.46
237179.46,0.337228715,G0513,Millennial,Travel Agent,None,2,Couple,0,Vegan,235550.8,1628.66
234841.02,0.338898164,G0551,Millennial,Direct,Platinum,11,Group,0,None,229384.27,5456.75
233817.69,0.340567613,G0220,Millennial,Direct,Silver,2,Family,3,Gluten-Free,230006.77,3810.92
233521.27,0.342237062,G0372,Gen Z,Travel Agent,Gold,10,Couple,0,Vegetarian,228736.55,4784.72
233035.729999999,0.343906511,G0242,Millennial,Corporate,Gold,4,Family,3,None,224980.019999999,8055.71
229849.93,0.345575960,G0151,Gen X,OTA,None,1,Family,2,Kosher,227974.25,1875.68
229592.590000001,0.347245409,G0248,Boomer,Corporate,Platinum,23,Solo,0,Gluten-Free,220948.620000001,8643.97
227448.749999999,0.348914858,G0122,Gen Z,Corporate,Platinum,13,Group,0,Gluten-Free,220667.279999999,6781.47
225988.28,0.350584307,G0467,Gen Z,Direct,Silver,4,Solo,0,Halal,224355.89,1632.39
225361.279999999,0.352253756,G0255,Gen X,Corporate,Silver,3,Family,1,Dairy-Free,220064.939999999,5296.34
224828.41,0.353923205,G0326,Millennial,Direct,Gold,8,Solo,0,Vegan,220044.66,4783.75
220945.4,0.355592654,G0500,Gen Z,OTA,Gold,8,Group,0,None,217419.87,3525.53
220342.13,0.357262104,G0191,Millennial,Direct,None,2,Family,3,None,217479.06,2863.07
220204.370000001,0.358931553,G0407,Boomer,Direct,Gold,7,Solo,0,Vegetarian,214968.080000001,5236.29
219329.29,0.360601002,G0109,Gen X,Corporate,Platinum,14,Group,0,None,214064.16,5265.13
214551.03,0.362270451,G0392,Millennial,OTA,None,2,Family,3,Dairy-Free,209659.98,4891.05
214411.57,0.363939900,G0024,Millennial,Direct,Gold,9,Solo,0,None,209451.27,4960.3
209589.85,0.365609349,G0061,Millennial,OTA,None,1,Family,3,None,206643.5,2946.35
208893.58,0.367278798,G0082,Millennial,OTA,None,1,Family,1,Halal,206281.74,2611.84
208354.51,0.368948247,G0404,Gen Z,OTA,Gold,10,Couple,0,Vegan,203088.1,5266.41
206612.15,0.370617696,G0411,Gen Z,Direct,Silver,5,Solo,0,None,204484.25,2127.9
203932.810000001,0.372287145,G0111,Millennial,OTA,None,2,Family,2,None,199576.660000001,4356.15
199544.66,0.373956594,G0021,Gen Z,Direct,Gold,10,Solo,0,None,194311.94,5232.72
198501.75,0.375626043,G0257,Boomer,Travel Agent,None,1,Family,2,None,196567.56,1934.19
198461.36,0.377295492,G0334,Millennial,OTA,None,2,Family,2,Vegan,195278.7,3182.66
194707.99,0.378964942,G0405,Gen X,Direct,None,1,Family,1,None,193029.36,1678.63
194435.019999999,0.380634391,G0038,Boomer,Direct,Silver,4,Couple,0,Vegetarian,190992.279999999,3442.74
194068.360000001,0.382303840,G0094,Boomer,Direct,Gold,8,Couple,0,Gluten-Free,188446.030000001,5622.33
193893.94,0.383973289,G0362,Millennial,Direct,Silver,4,Couple,0,None,191433.08,2460.86
193669.700000001,0.385642738,G0530,Gen X,OTA,Gold,9,Solo,0,Vegan,189116.200000001,4553.5
193245.52,0.387312187,G0410,Millennial,OTA,None,1,Family,3,Nut Allergy,191007.95,2237.57
192913.84,0.388981636,G0252,Millennial,OTA,None,2,Family,2,Vegan,189559.66,3354.18
191163.98,0.390651085,G0456,Boomer,Corporate,Platinum,8,Couple,0,Vegan,185865.32,5298.66
189582.49,0.392320534,G0585,Boomer,Travel Agent,Silver,3,Solo,0,None,188102.84,1479.65
187481.95,0.393989983,G0144,Millennial,OTA,None,1,Family,3,None,185283,2198.95
177817.58,0.395659432,G0399,Boomer,Corporate,Platinum,10,Solo,0,None,173538.24,4279.34
177250.32,0.397328881,G0412,Gen X,Corporate,Silver,4,Family,2,Dairy-Free,170744.24,6506.08
171555.8,0.398998331,G0306,Gen X,OTA,Silver,3,Family,2,None,166541.93,5013.87
171221.98,0.400667780,G0414,Millennial,Direct,Silver,4,Group,0,None,168340.06,2881.92
170898.87,0.402337229,G0291,Millennial,OTA,None,1,Family,3,Nut Allergy,168692.44,2206.43
170463.14,0.404006678,G0212,Boomer,Direct,Gold,6,Couple,0,Vegan,166324.51,4138.63
170419.9,0.405676127,G0431,Gen Z,OTA,Gold,9,Couple,0,Kosher,165860.69,4559.21
170307.5,0.407345576,G0463,Boomer,Travel Agent,Gold,5,Solo,0,None,166982.14,3325.36
169313.82,0.409015025,G0348,Gen X,Direct,Gold,9,Solo,0,None,165225.4,4088.42
169075.52,0.410684474,G0524,Boomer,Corporate,Platinum,12,Couple,0,Vegetarian,164753.7,4321.82
168979.72,0.412353923,G0370,Millennial,OTA,None,2,Family,1,Vegetarian,165505.68,3474.04
167218.19,0.414023372,G0002,Millennial,OTA,None,2,Family,2,None,164545.85,2672.34
162930.97,0.415692821,G0280,Millennial,OTA,None,2,Family,2,None,160208.64,2722.33
162682.9,0.417362270,G0455,Millennial,Corporate,Gold,8,Couple,0,Vegetarian,158805.82,3877.08
162422.06,0.419031720,G0525,Millennial,OTA,None,2,Family,1,None,159515.2,2906.86
158046.69,0.420701169,G0577,Millennial,Corporate,Gold,9,Group,0,None,153601.89,4444.8
157342.52,0.422370618,G0377,Gen X,OTA,None,2,Family,3,None,153764,3578.52
155404.46,0.424040067,G0128,Millennial,OTA,None,2,Family,1,Nut Allergy,152596.2,2808.26
154910.34,0.425709516,G0548,Millennial,OTA,None,2,Family,3,None,151914.48,2995.86
154787.57,0.427378965,G0471,Millennial,OTA,Gold,5,Solo,0,Dairy-Free,152462.43,2325.14
154351.99,0.429048414,G0190,Gen X,Direct,Silver,5,Couple,0,None,151573.23,2778.76
154262.03,0.430717863,G0289,Millennial,OTA,None,2,Family,2,Vegetarian,151894.08,2367.95
154118.35,0.432387312,G0437,Gen X,Direct,Silver,2,Family,3,None,151105.14,3013.21
151315.95,0.434056761,G0048,Gen Z,OTA,Silver,5,Solo,0,None,148387.23,2928.72
149869.31,0.435726210,G0266,Millennial,OTA,None,2,Family,3,Vegetarian,147217.14,2652.17
149835.84,0.437395659,G0423,Gen Z,OTA,Silver,4,Solo,0,None,147286.5,2549.34
148610.92,0.439065109,G0244,Millennial,Direct,Silver,2,Couple,0,None,146613.86,1997.06
146559.88,0.440734558,G0539,Boomer,Direct,Gold,6,Couple,0,None,144042.4,2517.48
