reservation_id,guest_id,stay_number,checkin_date,checkin_day,length_of_stay,lead_time_days,purpose,room_category,rate_type,nightly_rate,room_revenue,satisfaction_score,nps,rebooked_direct
R00017,G0006,6,2023-08-11,Saturday,2,76,Bleisure,Junior Suite,Loyalty Rate,255.57,511.14,7.9,Passive,False
R00018,G0006,7,2023-01-01,Monday,2,78,Business,Suite,BAR,345.34,690.68,9.0,Promoter,True
R00019,G0006,8,2023-10-05,Thursday,2,88,Business,Presidential Suite,Loyalty Rate,596.4,1192.8,8.0,Passive,False
R00020,G0006,9,2023-12-30,Thursday,2,68,Business,Junior Suite,Package,262.07,524.14,7.6,Passive,False
R00021,G0007,1,2023-11-06,Wednesday,5,26,Leisure,Junior Suite,OTA Rate,281.46,1407.3,7.9,Passive,False
R00022,G0007,2,2023-07-24,Friday,5,10,Leisure,Standard,OTA Rate,148.06,740.3,6.8,Detractor,False
R00023,G0007,3,2024-10-05,Wednesday,5,5,Leisure,Junior Suite,OTA Rate,281.86,1409.3,7.1,Passive,False
R00024,G0007,4,2024-05-30,Saturday,5,14,Leisure,Junior Suite,OTA Rate,291.55,1457.75,5.9,Detractor,False
R00025,G0008,1,2024-04-17,Wednesday,3,31,Business,Junior Suite,BAR,275.2,825.6,6.4,Detractor,False
R00026,G0009,1,2024-06-08,Saturday,4,2,Bleisure,Deluxe,OTA Rate,193.24,772.96,6.4,Detractor,False
R00027,G0009,2,2024-02-17,Friday,6,15,Leisure,Junior Suite,OTA Rate,259.75,1558.5,5.7,Detractor,False
R00028,G0010,1,2023-10-04,Saturday,4,90,Leisure,Standard,BAR,152.31,609.24,7.5,Passive,False
R00029,G0010,2,2023-12-06,Tuesday,6,79,Leisure,Junior Suite,BAR,273.63,1641.78,7.0,Passive,False
R00030,G0010,3,2023-05-28,Sunday,3,42,Leisure,Suite,Package,388.31,1164.93,7.3,Passive,False
R00031,G0011,1,2024-10-05,Sunday,2,83,Bleisure,Deluxe,BAR,191.05,382.1,6.7,Detractor,False
R00032,G0011,2,2023-06-06,Tuesday,2,52,Leisure,Standard,BAR,160.16,320.32,9.0,Promoter,True
R00033,G0011,3,2023-02-26,Thursday,5,44,Leisure,Junior Suite,Package,287.93,1439.65,7.5,Passive,False
R00034,G0012,1,2024-09-19,Sunday,6,14,Leisure,Standard,OTA Rate,137.5,825.0,6.5,Detractor,False
R00035,G0012,2,2023-05-26,Saturday,7,24,Leisure,Junior Suite,OTA Rate,263.95,1847.65,8.3,Passive,False
R00036,G0012,3,2024-05-06,Saturday,6,12,Leisure,Junior Suite,OTA Rate,270.87,1625.22,6.6,Detractor,False
R00037,G0012,4,2024-12-15,Friday,5,1,Leisure,Deluxe,OTA Rate,186.19,930.95,7.8,Passive,False
R00038,G0012,5,2024-02-03,Tuesday,7,15,Business,Standard,OTA Rate,154.65,1082.55,6.0,Detractor,False
R00039,G0013,1,2023-05-23,Saturday,4,22,Leisure,Presidential Suite,Loyalty Rate,653.97,2615.88,6.7,Detractor,False
R00040,G0013,2,2024-05-30,Friday,3,70,Business,Junior Suite,Loyalty Rate,241.37,724.11,8.3,Passive,False
R00041,G0013,3,2024-11-02,Friday,7,38,Leisure,Deluxe,BAR,175.18,1226.26,8.7,Passive,True
R00042,G0013,4,2024-10-22,Sunday,6,105,Leisure,Deluxe,BAR,179.24,1075.44,8.2,Passive,False
R00043,G0013,5,2024-11-05,Tuesday,4,96,Leisure,Presidential Suite,Loyalty Rate,637.31,2549.24,8.0,Passive,False
R00044,G0014,1,2024-02-18,Monday,3,6,Business,Standard,OTA Rate,149.97,449.91,6.5,Detractor,False
R00045,G0014,2,2024-05-26,Friday,3,25,Leisure,Junior Suite,OTA Rate,283.25,849.75,5.8,Detractor,False
R00046,G0014,3,2023-08-31,Friday,3,29,Business,Standard,OTA Rate,155.93,467.79,6.4,Detractor,False
R00047,G0015,1,2023-03-07,Tuesday,1,23,Business,Deluxe,BAR,207.89,207.89,6.4,Detractor,False
R00048,G0016,1,2023-01-31,Friday,7,15,Leisure,Standard,OTA Rate,156.23,1093.61,7.1,Passive,False
R00049,G0016,2,2024-08-10,Wednesday,5,15,Leisure,Deluxe,OTA Rate,188.91,944.55,6.9,Detractor,False
R00050,G0017,1,2023-06-15,Wednesday,1,5,Business,Suite,Corporate Rate,344.3,344.3,7.0,Passive,False
R00051,G0017,2,2024-11-15,Monday,1,3,Business,Junior Suite,Corporate Rate,234.58,234.58,9.0,Promoter,True
R00052,G0017,3,2023-03-15,Thursday,3,19,Business,Suite,Corporate Rate,352.41,1057.23,8.4,Passive,False
R00053,G0017,4,2024-08-07,Friday,4,20,Bleisure,Presidential Suite,Corporate Rate,615.23,2460.92,8.2,Passive,False
R00054,G0017,5,2024-03-25,Tuesday,1,21,Business,Deluxe,Corporate Rate,174.77,174.77,9.2,Promoter,True
R00055,G0017,6,2023-05-01,Monday,3,13,Business,Standard,Corporate Rate,131.44,394.32,9.5,Promoter,True
R00056,G0017,7,2023-09-15,Tuesday,1,12,Business,Deluxe,Corporate Rate,170.65,170.65,9.4,Promoter,False
R00057,G0017,8,2024-09-17,Tuesday,1,20,Business,Suite,Corporate Rate,323.62,323.62,8.0,Passive,False
R00058,G0017,9,2024-04-27,Sunday,7,3,Leisure,Standard,Corporate Rate,125.48,878.36,8.5,Passive,True
R00059,G0017,10,2023-03-02,Wednesday,3,13,Business,Presidential Suite,Corporate Rate,605.57,1816.71,9.0,Promoter,False
R00060,G0017,11,2023-08-30,Thursday,3,4,Business,Junior Suite,Corporate Rate,225.17,675.51,9.5,Promoter,True
R00061,G0017,12,2024-09-19,Sunday,5,7,Leisure,Junior Suite,Corporate Rate,224.36,1121.8,8.3,Passive,False
R00062,G0017,13,2023-02-06,Tuesday,2,16,Business,Suite,Corporate Rate,350.38,700.76,8.6,Passive,False
R00063,G0017,14,2023-08-22,Monday,1,20,Business,Suite,Corporate Rate,334.34,334.34,7.8,Passive,False
R00064,G0017,15,2024-12-01,Saturday,2,15,Bleisure,Suite,Corporate Rate,346.95,693.9,7.7,Passive,False
R00065,G0017,16,2024-03-16,Saturday,2,17,Bleisure,Deluxe,Corporate Rate,171.45,342.9,9.4,Promoter,False
R00066,G0017,17,2023-12-27,Tuesday,1,10,Business,Junior Suite,Corporate Rate,239.62,239.62,9.8,Promoter,True
R00067,G0017,18,2024-07-03,Sunday,1,10,Business,Suite,Corporate Rate,322.26,322.26,8.6,Passive,True
R00068,G0017,19,2023-07-04,Tuesday,3,10,Business,Presidential Suite,Corporate Rate,568.27,1704.81,9.5,Promoter,True
R00069,G0017,20,2024-11-04,Monday,2,20,Business,Junior Suite,Corporate Rate,242.88,485.76,9.0,Promoter,False
R00070,G0017,21,2023-08-14,Tuesday,2,20,Business,Junior Suite,Corporate Rate,241.44,482.88,8.2,Passive,False
R00071,G0017,22,2024-06-23,Thursday,2,4,Bleisure,Junior Suite,Corporate Rate,234.66,469.32,9.0,Promoter,False
R00072,G0018,1,2024-05-12,Wednesday,3,80,Bleisure,Standard,Package,146.26,438.78,8.0,Passive,False
R00073,G0019,1,2024-01-17,Saturday,2,44,Leisure,Junior Suite,Package,284.04,568.08,7.2,Passive,False
R00074,G0019,2,2023-04-27,Thursday,2,49,Business,Deluxe,BAR,217.86,435.72,8.8,Passive,True
R00075,G0019,3,2024-09-16,Monday,5,63,Bleisure,Deluxe,BAR,200.37,1001.85,5.4,Detractor,False
R00076,G0019,4,2024-11-06,Monday,4,18,Bleisure,Deluxe,BAR,189.83,759.32,8.2,Passive,False
R00077,G0020,1,2024-09-15,Friday,4,89,Leisure,Standard,BAR,157.77,631.08,7.3,Passive,False
R00078,G0020,2,2024-09-28,Friday,2,27,Bleisure,Deluxe,Promotional,216.88,433.76,7.3,Passive,False
R00079,G0020,3,2023-10-22,Sunday,5,68,Leisure,Deluxe,BAR,204.54,1022.7,7.6,Passive,False
R00080,G0020,4,2023-06-16,Friday,3,30,Leisure,Suite,BAR,419.9,1259.7,5.9,Detractor,False
R00081,G0021,1,2023-10-08,Tuesday,3,51,Business,Deluxe,Loyalty Rate,181.4,544.2,7.6,Passive,False
R00082,G0021,2,2024-01-06,Thursday,2,29,Bleisure,Deluxe,BAR,185.79,371.58,8.4,Passive,False
R00083,G0021,3,2023-07-03,Monday,2,73,Bleisure,Standard,Loyalty Rate,136.15,272.3,9.3,Promoter,False
R00084,G0021,4,2024-02-23,Friday,2,84,Business,Deluxe,Loyalty Rate,172.73,345.46,7.7,Passive,False
R00085,G0021,5,2023-10-10,Friday,3,36,Bleisure,Standard,BAR,127.39,382.17,7.5,Passive,False
R00086,G0021,6,2023-04-28,Wednesday,6,70,Leisure,Junior Suite,Loyalty Rate,257.16,1542.96,7.7,Passive,False
R00087,G0021,7,2023-03-04,Sunday,4,16,Leisure,Junior Suite,Package,247.01,988.04,8.8,Passive,False
R00088,G0021,8,2024-09-06,Monday,3,70,Business,Standard,Loyalty Rate,129.69,389.07,8.4,Passive,False
R00089,G0021,9,2024-08-07,Sunday,5,23,Bleisure,Junior Suite,Package,241.14,1205.7,7.7,Passive,False
R00090,G0021,10,2023-12-01,Friday,5,61,Leisure,Junior Suite,Package,254.5,1272.5,8.5,Passive,True
R00091,G0022,1,2023-02-15,Wednesday,2,27,Bleisure,Junior Suite,Package,251.4,502.8,7.9,Passive,False
R00092,G0022,2,2024-06-04,Saturday,3,62,Leisure,Suite,Loyalty Rate,368.13,1104.39,8.9,Passive,True
R00093,G0022,3,2024-10-26,Monday,1,86,Business,Junior Suite,BAR,252.45,252.45,7.5,Passive,False
R00094,G0022,4,2024-03-04,Tuesday,6,20,Leisure,Junior Suite,BAR,251.67,1510.02,7.8,Passive,False
R00095,G0022,5,2023-11-21,Sunday,4,45,Bleisure,Deluxe,BAR,188.6,754.4,7.8,Passive,False
R00096,G0022,6,2023-08-25,Saturday,2,44,Leisure,Deluxe,Package,177.31,354.62,6.9,Detractor,False
R00097,G0023,1,2023-03-23,Wednesday,2,18,Business,Deluxe,Corporate Rate,168.13,336.26,7.4,Passive,False
R00098,G0023,2,2024-03-04,Thursday,1,20,Business,Standard,Corporate Rate,132.75,132.75,7.7,Passive,False
R00099,G0023,3,2024-11-21,Monday,2,12,Business,Deluxe,Corporate Rate,161.55,323.1,7.5,Passive,False
R00100,G0023,4,2024-02-23,Sunday,3,18,Business,Deluxe,Corporate Rate,174.58,523.74,7.3,Passive,False
R00101,G0023,5,2023-07-04,Monday,2,16,Bleisure,Standard,Corporate Rate,127.46,254.92,6.4,Detractor,False
R00102,G0024,1,2024-04-26,Tuesday,2,69,Leisure,Standard,Loyalty Rate,127.74,255.48,7.5,Passive,False
R00103,G0024,2,2024-06-11,Sunday,5,59,Leisure,Standard,BAR,130.25,651.25,7.8,Passive,False
R00104,G0024,3,2023-10-28,Friday,2,89,Business,Junior Suite,Loyalty Rate,257.3,514.6,7.5,Passive,False
R00105,G0024,4,2023-03-17,Friday,5,66,Leisure,Junior Suite,BAR,249.31,1246.55,8.0,Passive,False
R00106,G0024,5,2024-05-03,Saturday,7,89,Leisure,Suite,Package,342.49,2397.43,8.4,Passive,False
R00107,G0024,6,2023-01-08,Friday,7,72,Leisure,Deluxe,Loyalty Rate,179.27,1254.89,9.6,Promoter,False
R00108,G0024,7,2023-04-10,Wednesday,1,86,Business,Junior Suite,BAR,251.33,251.33,8.2,Passive,False
R00109,G0024,8,2024-03-12,Friday,3,32,Bleisure,Standard,Package,139.8,419.4,8.3,Passive,False
R00110,G0024,9,2023-08-04,Thursday,4,26,Bleisure,Deluxe,Loyalty Rate,174.88,699.52,8.0,Passive,False
R00111,G0025,1,2024-05-13,Sunday,4,30,Bleisure,Standard,OTA Rate,148.82,595.28,4.8,Detractor,False
R00112,G0026,1,2023-04-19,Saturday,3,4,Leisure,Standard,OTA Rate,153.33,459.99,6.7,Detractor,False
R00113,G0026,2,2023-06-22,Friday,3,18,Business,Deluxe,OTA Rate,183.25,549.75,7.0,Passive,False
R00114,G0027,1,2023-01-27,Thursday,5,24,Bleisure,Standard,OTA Rate,139.52,697.6,8.3,Passive,False
R00115,G0028,1,2024-04-09,Monday,3,6,Business,Deluxe,Corporate Rate,167.8,503.4,7.6,Passive,False
R00116,G0028,2,2023-09-27,Monday,2,6,Business,Presidential Suite,Corporate Rate,615.37,1230.74,8.3,Passive,False
R00117,G0028,3,2023-08-16,Friday,4,11,Bleisure,Junior Suite,Corporate Rate,243.72,974.88,8.1,Passive,False
R00118,G0028,4,2024-11-19,Saturday,4,4,Bleisure,Deluxe,Corporate Rate,177.75,711.0,7.2,Passive,False
R00119,G0028,5,2024-06-17,Friday,3,4,Business,Suite,Corporate Rate,344.23,1032.69,9.0,Promoter,True
R00120,G0028,6,2024-08-23,Saturday,3,9,Business,Deluxe,Corporate Rate,162.21,486.63,8.7,Passive,False
R00121,G0028,7,2024-05-23,Monday,1,19,Business,Suite,Corporate Rate,349.1,349.1,8.7,Passive,True
R00122,G0028,8,2023-03-10,Wednesday,3,8,Business,Standard,Corporate Rate,129.45,388.35,7.4,Passive,False
R00123,G0029,1,2024-09-20,Saturday,4,16,Bleisure,Deluxe,OTA Rate,207.77,831.08,7.8,Passive,False
R00124,G0029,2,2023-11-04,Sunday,7,16,Leisure,Deluxe,OTA Rate,199.38,1395.66,5.9,Detractor,False
R00125,G0029,3,2024-09-04,Friday,2,8,Bleisure,Standard,OTA Rate,154.14,308.28,7.5,Passive,False
R00126,G0029,4,2023-10-22,Friday,3,22,Bleisure,Standard,OTA Rate,140.49,421.47,8.8,Passive,False
R00127,G0030,1,2024-11-07,Thursday,3,30,Business,Junior Suite,BAR,298.73,896.19,6.4,Detractor,False
R00128,G0030,2,2024-05-15,Saturday,2,51,Leisure,Standard,BAR,160.57,321.14,7.0,Passive,False
R00129,G0030,3,2024-02-23,Thursday,2,54,Business,Deluxe,Package,201.74,403.48,7.6,Passive,False
R00130,G0030,4,2023-09-24,Thursday,7,42,Leisure,Deluxe,Package,198.26,1387.82,7.1,Passive,False
R00131,G0030,5,2024-02-24,Friday,3,40,Business,Junior Suite,BAR,305.57,916.71,6.3,Detractor,False
R00132,G0031,1,2024-09-17,Saturday,2,24,Bleisure,Standard,OTA Rate,144.42,288.84,6.4,Detractor,False
R00133,G0031,2,2024-12-22,Friday,2,21,Bleisure,Standard,OTA Rate,141.16,282.32,5.8,Detractor,False
R00134,G0032,1,2024-07-02,Monday,3,64,Business,Suite,BAR,427.01,1281.03,7.6,Passive,False
R00135,G0032,2,2024-01-18,Wednesday,3,15,Bleisure,Standard,BAR,162.57,487.71,6.8,Detractor,False
R00136,G0032,3,2023-04-15,Saturday,2,34,Leisure,Standard,BAR,155.67,311.34,8.7,Passive,False
R00137,G0032,4,2023-02-04,Tuesday,5,65,Bleisure,Standard,Package,147.58,737.9,6.9,Detractor,False
R00138,G0032,5,2023-03-28,Wednesday,3,67,Business,Standard,Package,153.66,460.98,7.2,Passive,False
R00139,G0033,1,2023-06-05,Wednesday,2,38,Business,Junior Suite,Promotional,297.89,595.78,7.5,Passive,False
R00140,G0034,1,2024-03-11,Monday,6,46,Leisure,Standard,Promotional,154.43,926.58,5.8,Detractor,False
R00141,G0035,1,2024-01-21,Tuesday,5,18,Bleisure,Standard,OTA Rate,142.59,712.95,6.9,Detractor,False
R00142,G0035,2,2024-12-20,Thursday,2,16,Leisure,Deluxe,OTA Rate,207.69,415.38,8.0,Passive,False
R00143,G0035,3,2024-07-13,Friday,6,1,Leisure,Standard,OTA Rate,141.58,849.48,5.7,Detractor,False
R00144,G0035,4,2024-01-14,Tuesday,4,11,Leisure,Standard,OTA Rate,149.28,597.12,7.1,Passive,False
R00145,G0036,1,2023-03-27,Monday,2,89,Business,Deluxe,Loyalty Rate,181.42,362.84,8.0,Passive,False
R00146,G0036,2,2024-04-29,Sunday,3,21,Leisure,Suite,Loyalty Rate,351.58,1054.74,8.7,Passive,True
R00147,G0036,3,2023-06-04,Thursday,3,66,Business,Suite,Loyalty Rate,347.5,1042.5,7.1,Passive,False
R00148,G0036,4,2024-07-29,Saturday,4,44,Leisure,Deluxe,BAR,179.39,717.56,7.0,Passive,False
R00149,G0036,5,2023-03-25,Friday,2,62,Leisure,Standard,Loyalty Rate,134.4,268.8,8.5,Passive,True
R00150,G0036,6,2023-07-22,Sunday,2,68,Bleisure,Junior Suite,BAR,251.79,503.58,8.3,Passive,False
R00151,G0036,7,2023-05-24,Saturday,5,15,Leisure,Deluxe,Loyalty Rate,175.01,875.05,8.3,Passive,False
R00152,G0036,8,2024-11-23,Friday,4,86,Bleisure,Junior Suite,Loyalty Rate,251.75,1007.0,8.4,Passive,False
R00153,G0036,9,2023-07-29,Sunday,4,80,Leisure,Junior Suite,Loyalty Rate,243.03,972.12,7.6,Passive,False
R00154,G0036,10,2023-12-05,Saturday,3,35,Leisure,Junior Suite,Package,237.42,712.26,8.3,Passive,False
R00155,G0037,1,2024-03-02,Wednesday,1,53,Business,Junior Suite,Loyalty Rate,239.77,239.77,8.0,Passive,False
R00156,G0037,2,2024-04-14,Monday,5,90,Bleisure,Deluxe,Loyalty Rate,180.28,901.4,7.5,Passive,False
R00157,G0037,3,2023-08-20,Monday,3,49,Bleisure,Deluxe,Package,177.63,532.89,9.6,Promoter,False
R00158,G0037,4,2024-01-12,Friday,4,85,Leisure,Junior Suite,BAR,239.31,957.24,8.5,Passive,True
R00159,G0037,5,2023-08-10,Thursday,2,30,Bleisure,Suite,BAR,369.72,739.44,7.1,Passive,False
R00160,G0037,6,2023-12-05,Sunday,6,49,Leisure,Presidential Suite,BAR,637.2,3823.2,8.6,Passive,False
R00161,G0037,7,2023-08-03,Thursday,1,25,Business,Suite,BAR,344.87,344.87,7.3,Passive,False
R00162,G0037,8,2024-05-01,Friday,2,31,Leisure,Junior Suite,Loyalty Rate,255.7,511.4,8.7,Passive,True
R00163,G0038,1,2024-05-27,Thursday,5,62,Leisure,Junior Suite,Package,279.91,1399.55,8.1,Passive,False
R00164,G0038,2,2024-06-18,Monday,3,35,Bleisure,Suite,Package,421.62,1264.86,6.8,Detractor,False
R00165,G0038,3,2024-03-23,Friday,4,29,Leisure,Deluxe,BAR,199.44,797.76,8.3,Passive,False
R00166,G0038,4,2023-01-26,Sunday,7,58,Leisure,Junior Suite,BAR,288.48,2019.36,7.8,Passive,False
R00167,G0039,1,2023-07-15,Wednesday,7,39,Leisure,Deluxe,BAR,189.22,1324.54,7.5,Passive,False
R00168,G0040,1,2023-11-14,Sunday,7,15,Leisure,Junior Suite,BAR,276.56,1935.92,8.3,Passive,False
R00169,G0040,2,2024-05-05,Sunday,7,49,Leisure,Junior Suite,Promotional,299.51,2096.57,6.9,Detractor,False
R00170,G0041,1,2024-04-27,Saturday,5,16,Leisure,Junior Suite,OTA Rate,280.17,1400.85,5.7,Detractor,False
R00171,G0042,1,2024-07-12,Monday,2,7,Bleisure,Suite,Corporate Rate,326.26,652.52,7.7,Passive,False
R00172,G0042,2,2023-05-15,Thursday,1,4,Business,Junior Suite,Corporate Rate,243.03,243.03,8.0,Passive,False
R00173,G0042,3,2023-11-18,Wednesday,1,3,Business,Junior Suite,Corporate Rate,241.95,241.95,8.6,Passive,False
R00174,G0042,4,2024-12-27,Sunday,3,14,Business,Suite,Corporate Rate,356.73,1070.19,9.0,Promoter,True
R00175,G0042,5,2024-11-14,Monday,3,11,Bleisure,Deluxe,Corporate Rate,168.02,504.06,8.9,Passive,True
R00176,G0042,6,2023-07-23,Friday,2,12,Bleisure,Junior Suite,Corporate Rate,232.98,465.96,9.4,Promoter,True
R00177,G0042,7,2024-08-04,Tuesday,5,5,Bleisure,Deluxe,Corporate Rate,161.0,805.0,8.7,Passive,False
R00178,G0042,8,2023-07-10,Wednesday,1,8,Business,Suite,Corporate Rate,327.88,327.88,9.9,Promoter,True
R00179,G0042,9,2023-03-25,Sunday,4,9,Bleisure,Suite,Corporate Rate,348.65,1394.6,8.5,Passive,True
R00180,G0042,10,2024-01-24,Wednesday,3,21,Bleisure,Junior Suite,Corporate Rate,229.5,688.5,10.0,Promoter,True
R00181,G0042,11,2023-07-24,Tuesday,3,17,Business,Junior Suite,Corporate Rate,236.87,710.61,9.2,Promoter,False
R00182,G0043,1,2023-12-24,Friday,7,22,Leisure,Junior Suite,OTA Rate,258.01,1806.07,5.6,Detractor,False
R00183,G0044,1,2024-08-22,Friday,6,58,Leisure,Junior Suite,Package,277.13,1662.78,5.9,Detractor,False
R00184,G0044,2,2023-12-17,Friday,7,25,Leisure,Junior Suite,BAR,274.18,1919.26,7.5,Passive,False
R00185,G0045,1,2023-09-25,Monday,3,21,Business,Standard,OTA Rate,139.79,419.37,6.1,Detractor,False
R00186,G0046,1,2024-08-23,Saturday,2,11,Bleisure,Deluxe,OTA Rate,199.36,398.72,6.9,Detractor,False
R00187,G0046,2,2023-01-09,Wednesday,2,21,Business,Junior Suite,OTA Rate,263.47,526.94,7.0,Passive,False
R00188,G0047,1,2024-01-02,Friday,3,25,Bleisure,Standard,OTA Rate,152.75,458.25,6.2,Detractor,False
R00189,G0048,1,2024-04-12,Saturday,7,13,Leisure,Deluxe,OTA Rate,189.38,1325.66,6.0,Detractor,False
R00190,G0048,2,2024-01-18,Friday,5,10,Leisure,Standard,OTA Rate,155.07,775.35,5.8,Detractor,False
R00191,G0048,3,2023-08-28,Sunday,6,4,Leisure,Standard,OTA Rate,152.07,912.42,6.6,Detractor,False
R00192,G0048,4,2024-08-14,Monday,3,30,Bleisure,Standard,OTA Rate,148.64,445.92,7.7,Passive,False
R00193,G0048,5,2024-12-15,Wednesday,6,25,Leisure,Standard,OTA Rate,149.93,899.58,7.2,Passive,False
R00194,G0049,1,2023-02-25,Thursday,3,58,Leisure,Deluxe,BAR,189.08,567.24,6.2,Detractor,False
R00195,G0049,2,2023-06-01,Monday,2,24,Business,Standard,Promotional,151.31,302.62,7.6,Passive,False
R00196,G0050,1,2023-09-08,Saturday,4,75,Leisure,Deluxe,BAR,205.46,821.84,7.1,Passive,False
R00197,G0051,1,2024-02-08,Sunday,7,13,Leisure,Junior Suite,OTA Rate,282.29,1976.03,5.6,Detractor,False
R00198,G0051,2,2023-04-09,Thursday,3,13,Bleisure,Deluxe,OTA Rate,206.31,618.93,6.7,Detractor,False
R00199,G0052,1,2024-11-21,Friday,5,20,Bleisure,Standard,Corporate Rate,126.48,632.4,7.8,Passive,False
R00200,G0052,2,2024-08-23,Friday,1,10,Business,Deluxe,Corporate Rate,165.96,165.96,7.2,Passive,False
R00201,G0052,3,2023-01-02,Thursday,1,10,Business,Standard,Corporate Rate,122.0,122.0,8.4,Passive,False
R00202,G0052,4,2023-08-05,Monday,2,8,Business,Deluxe,Corporate Rate,164.87,329.74,8.5,Passive,True
R00203,G0053,1,2024-05-07,Saturday,2,8,Business,Standard,Corporate Rate,129.37,258.74,8.1,Passive,False
R00204,G0053,2,2023-04-19,Monday,3,6,Business,Junior Suite,Corporate Rate,234.48,703.44,8.3,Passive,False
R00205,G0054,1,2023-01-13,Monday,3,13,Business,Deluxe,OTA Rate,183.38,550.14,5.2,Detractor,False
R00206,G0055,1,2024-10-31,Friday,5,68,Leisure,Deluxe,BAR,181.16,905.8,7.0,Passive,False
R00207,G0055,2,2024-04-06,Saturday,7,82,Leisure,Presidential Suite,Loyalty Rate,606.65,4246.55,8.5,Passive,True
R00208,G0055,3,2024-01-28,Tuesday,5,89,Leisure,Deluxe,BAR,181.38,906.9,8.5,Passive,False
R00209,G0055,4,2024-03-21,Tuesday,6,72,Business,Deluxe,Package,182.81,1096.86,8.5,Passive,True
R00210,G0055,5,2023-12-12,Saturday,7,48,Leisure,Deluxe,Loyalty Rate,169.5,1186.5,10.0,Promoter,True
R00211,G0055,6,2024-10-13,Monday,3,82,Business,Junior Suite,Loyalty Rate,239.49,718.47,8.6,Passive,True
R00212,G0055,7,2023-05-29,Friday,5,72,Leisure,Junior Suite,Loyalty Rate,260.18,1300.9,9.0,Promoter,False
R00213,G0056,1,2024-06-20,Monday,5,18,Leisure,Deluxe,Package,181.84,909.2,9.2,Promoter,False
R00214,G0056,2,2024-01-27,Saturday,5,68,Leisure,Junior Suite,Loyalty Rate,257.98,1289.9,9.2,Promoter,False
R00215,G0056,3,2023-03-23,Friday,4,87,Leisure,Junior Suite,Loyalty Rate,251.49,1005.96,8.4,Passive,False
R00216,G0056,4,2023-09-07,Monday,6,41,Leisure,Suite,Loyalty Rate,368.95,2213.7,9.3,Promoter,False
R00217,G0056,5,2023-10-11,Monday,5,50,Leisure,Junior Suite,Loyalty Rate,237.67,1188.35,8.1,Passive,False
R00218,G0056,6,2024-02-29,Thursday,7,54,Leisure,Deluxe,Loyalty Rate,183.26,1282.82,8.5,Passive,True
R00219,G0056,7,2024-09-18,Saturday,7,67,Leisure,Suite,Loyalty Rate,354.67,2482.69,8.3,Passive,False
R00220,G0056,8,2024-07-25,Tuesday,6,33,Business,Suite,BAR,347.55,2085.3,8.8,Passive,False
R00221,G0056,9,2024-11-20,Friday,7,24,Leisure,Suite,BAR,352.93,2470.51,10.0,Promoter,True
R00222,G0056,10,2024-06-26,Thursday,6,73,Leisure,Standard,BAR,129.13,774.78,7.2,Passive,False
R00223,G0056,11,2023-12-27,Friday,5,85,Leisure,Suite,Package,354.12,1770.6,9.2,Promoter,True
R00224,G0056,12,2024-01-23,Sunday,6,41,Leisure,Junior Suite,Loyalty Rate,245.22,1471.32,7.4,Passive,False
R00225,G0056,13,2023-06-12,Sunday,7,66,Leisure,Junior Suite,Loyalty Rate,262.27,1835.89,8.3,Passive,False
